c_0001;ALTER;GESCHLECHT;BILDUNG;LAND;LAND_2;BLUTSPENDEVERHALTEN;BLUTSPENDEORGANISATION;BLUTSPENDEORGANISATION_2;AMOTIVATION_1;AMOTIVATION_2;AMOTIVATION_3;EXTERNAL_REGULATION_1;EXTERNAL_REGULATION_2;EXTERNAL_REGULATION_3;INTROJECTED_REGULATION_1;INTROJECTED_REGULATION_2;ATTENTION_CHECK;INTROJECTED_REGULATION_3;IDENTIFIED_REGUALTION_1;IDENTIFIED_REGUALTION_2;IDENTIFIED_REGUALTION_3;INTEGRATED_REGULATION_1;INTEGRATED_REGULATION_2;INTEGRATED_REGULATION_3;INTRINSIC_REGUALTION_1;INTRINSIC_REGUALTION_2;INTRINSIC_REGUALTION_3;INTENTION_1;INTENTION_2;INTENTION_3;;;;;;;;;;;;;;;;;;
3;28;1;5;1;-99;1;1;-99;1;2;1;3;5;5;2;3;1;4;6;7;7;5;7;6;6;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;61;2;3;1;-99;1;1;-99;1;5;1;1;1;1;7;6;1;6;6;7;7;7;7;7;6;7;6;7;7;7;;;;;;;;;;;;;;;;;;
2;58;1;6;1;-99;1;4;Blutbank der Universität Gießen;1;1;1;1;3;3;4;4;1;4;4;6;7;5;5;4;4;6;4;4;4;4;;;;;;;;;;;;;;;;;;
2;22;1;4;1;-99;1;1;-99;1;2;1;3;3;1;4;5;1;6;5;7;5;6;7;5;4;5;5;7;7;7;;;;;;;;;;;;;;;;;;
1;38;2;5;1;-99;1;1;-99;1;4;1;1;1;1;3;1;1;7;7;7;7;6;5;6;6;5;4;1;7;1;;;;;;;;;;;;;;;;;;
1;34;1;2;1;-99;1;1;-99;1;4;7;7;4;4;1;1;1;4;7;7;7;1;3;7;4;4;7;7;7;7;;;;;;;;;;;;;;;;;;
1;37;1;3;1;-99;1;1;-99;1;2;1;2;5;1;3;5;1;7;7;7;7;6;4;7;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;40;1;3;1;-99;1;1;-99;1;1;1;1;2;1;4;6;1;6;7;7;7;7;6;6;7;7;5;6;7;7;;;;;;;;;;;;;;;;;;
2;34;1;1;1;-99;1;1;-99;1;1;6;4;2;6;1;6;1;6;6;6;7;5;4;5;7;6;5;1;6;2;;;;;;;;;;;;;;;;;;
3;53;2;5;1;-99;1;1;-99;1;5;7;2;1;2;5;5;1;5;7;7;7;6;6;7;7;6;5;7;7;7;;;;;;;;;;;;;;;;;;
1;53;2;2;1;-99;1;1;-99;1;2;1;1;1;6;3;3;1;3;5;6;5;7;5;7;7;4;4;7;7;7;;;;;;;;;;;;;;;;;;
3;37;1;4;1;-99;1;1;-99;1;3;1;1;1;1;4;2;1;2;5;6;5;2;2;4;6;1;1;7;7;7;;;;;;;;;;;;;;;;;;
2;26;1;2;1;-99;1;1;-99;1;4;1;1;1;4;4;4;1;3;4;6;7;2;2;3;3;3;2;2;3;2;;;;;;;;;;;;;;;;;;
1;30;2;4;1;-99;1;1;-99;1;2;1;2;4;3;3;5;1;7;7;7;7;7;7;7;7;7;5;7;7;7;;;;;;;;;;;;;;;;;;
3;31;2;5;1;-99;1;1;-99;1;2;1;1;2;1;2;3;1;6;7;7;7;6;6;7;6;3;7;7;7;7;;;;;;;;;;;;;;;;;;
1;68;1;1;1;-99;1;1;-99;1;1;1;1;1;1;7;7;1;7;7;7;7;7;7;7;7;1;7;7;7;7;;;;;;;;;;;;;;;;;;
2;25;3;4;1;-99;1;1;-99;1;4;1;1;2;7;4;2;1;3;3;6;7;6;6;5;5;6;3;6;7;7;;;;;;;;;;;;;;;;;;
3;48;1;4;1;-99;1;1;-99;1;2;5;1;2;3;3;3;1;2;3;5;7;4;4;4;3;7;2;7;7;7;;;;;;;;;;;;;;;;;;
2;51;2;5;1;-99;1;1;-99;1;4;1;1;1;1;5;3;1;5;7;7;7;4;5;6;5;5;4;7;7;7;;;;;;;;;;;;;;;;;;
3;35;2;6;1;-99;1;1;-99;2;6;4;2;4;4;3;3;1;5;6;7;6;3;6;5;6;5;4;6;6;6;;;;;;;;;;;;;;;;;;
1;66;2;2;1;-99;1;1;-99;1;1;1;1;2;1;7;6;1;7;7;7;7;7;6;7;7;7;6;6;6;6;;;;;;;;;;;;;;;;;;
2;36;1;2;1;-99;1;1;-99;1;1;1;1;1;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;41;1;5;1;-99;1;1;-99;1;1;1;1;1;1;1;1;1;5;7;7;7;7;7;7;7;4;7;4;4;4;;;;;;;;;;;;;;;;;;
3;44;1;4;1;-99;1;1;-99;1;2;5;1;1;1;1;3;1;3;6;7;6;4;4;4;3;6;6;7;7;7;;;;;;;;;;;;;;;;;;
2;53;2;3;1;-99;1;1;-99;1;2;1;1;7;1;1;6;1;7;7;7;7;7;6;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;45;1;2;1;-99;1;4;Nstob;7;1;1;1;1;1;1;7;1;5;7;7;7;4;1;7;7;7;3;7;7;7;;;;;;;;;;;;;;;;;;
3;66;1;1;1;-99;1;1;-99;1;1;1;1;1;1;5;6;1;7;7;7;7;7;7;7;7;7;5;7;7;7;;;;;;;;;;;;;;;;;;
1;54;1;4;1;-99;1;4;ITM Suhl ;1;3;1;3;3;1;3;1;1;2;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;61;2;2;1;-99;1;3;-99;6;6;4;1;1;1;1;1;1;1;1;4;5;1;1;1;5;1;1;2;2;1;;;;;;;;;;;;;;;;;;
3;24;1;7;1;-99;1;1;-99;1;1;2;1;1;2;5;4;1;5;7;7;7;5;4;6;6;4;6;7;7;7;;;;;;;;;;;;;;;;;;
2;54;1;2;1;-99;1;1;-99;1;2;1;1;2;1;4;4;1;5;7;7;7;7;6;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;55;1;6;1;-99;1;1;-99;1;3;1;1;1;1;4;4;1;4;7;7;7;5;4;5;5;5;5;7;7;7;;;;;;;;;;;;;;;;;;
3;56;2;7;1;-99;1;1;-99;1;1;1;1;1;7;1;1;1;1;7;7;7;7;1;3;7;7;4;7;7;7;;;;;;;;;;;;;;;;;;
1;46;1;6;1;-99;1;1;-99;1;1;1;1;1;1;4;4;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;56;1;2;1;-99;1;1;-99;1;4;1;1;1;1;1;5;1;3;7;7;7;7;3;6;6;5;1;7;7;7;;;;;;;;;;;;;;;;;;
1;51;2;6;1;-99;1;1;-99;3;3;2;1;4;1;1;3;1;4;5;7;7;3;4;7;7;6;3;7;7;7;;;;;;;;;;;;;;;;;;
2;45;1;3;1;-99;1;1;-99;1;1;1;1;1;1;7;6;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;41;2;4;1;-99;1;1;-99;1;2;1;1;1;1;5;5;1;7;6;7;7;6;5;7;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;35;2;5;1;-99;1;1;-99;2;4;1;1;1;2;2;3;1;4;6;7;7;4;6;6;4;6;2;4;4;4;;;;;;;;;;;;;;;;;;
2;57;1;2;1;-99;1;4;Südharz Klinikum Nordhausen;1;1;7;1;1;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;32;2;2;1;-99;1;1;-99;2;4;4;4;4;2;1;3;1;4;6;6;6;5;4;5;6;3;4;6;6;6;;;;;;;;;;;;;;;;;;
1;51;1;3;1;-99;1;1;-99;1;4;1;1;1;4;4;4;1;7;7;7;7;5;5;7;5;5;7;7;7;7;;;;;;;;;;;;;;;;;;
1;32;2;2;1;-99;1;1;-99;1;2;5;1;2;1;5;6;1;6;7;7;6;6;5;6;6;6;5;7;7;7;;;;;;;;;;;;;;;;;;
2;29;2;5;1;-99;1;1;-99;2;6;7;2;2;1;5;5;1;5;5;6;5;1;1;4;5;4;1;2;5;5;;;;;;;;;;;;;;;;;;
3;25;2;2;1;-99;1;1;-99;1;2;2;1;2;1;5;5;1;6;6;5;6;6;6;6;6;6;4;7;7;7;;;;;;;;;;;;;;;;;;
2;74;2;3;1;-99;1;3;-99;1;1;2;1;1;1;7;1;1;7;7;7;7;7;7;7;7;7;1;1;1;1;;;;;;;;;;;;;;;;;;
2;40;1;2;1;-99;1;1;-99;1;2;1;2;6;4;5;6;1;3;5;6;7;7;6;6;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
1;25;1;5;1;-99;1;1;-99;1;5;5;1;1;1;1;1;1;1;6;6;7;2;1;5;6;6;1;7;7;7;;;;;;;;;;;;;;;;;;
3;34;1;2;1;-99;1;1;-99;1;1;7;1;1;1;4;6;1;6;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;33;1;5;1;-99;1;1;-99;3;4;7;1;4;4;5;6;1;7;5;7;7;5;4;5;5;4;4;1;5;1;;;;;;;;;;;;;;;;;;
1;30;1;3;1;-99;1;1;-99;1;1;7;1;1;1;4;7;1;5;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;34;1;1;1;-99;1;1;-99;1;1;1;1;1;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;39;2;3;1;-99;1;1;-99;1;1;7;1;1;1;7;4;1;3;7;7;7;7;4;4;7;5;4;7;7;7;;;;;;;;;;;;;;;;;;
3;44;1;2;1;-99;1;1;-99;1;5;1;1;1;1;5;5;1;6;7;7;7;4;5;6;4;5;6;7;7;7;;;;;;;;;;;;;;;;;;
1;24;1;4;1;-99;1;1;-99;2;4;2;2;6;1;2;2;1;5;7;7;7;4;6;6;6;3;2;7;7;7;;;;;;;;;;;;;;;;;;
3;24;1;4;1;-99;1;1;-99;1;1;1;3;1;1;1;1;1;4;7;7;7;7;3;5;5;7;5;5;5;5;;;;;;;;;;;;;;;;;;
2;68;1;2;1;-99;1;1;-99;1;1;1;2;1;1;5;4;1;7;7;6;7;6;6;6;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;46;1;2;1;-99;1;1;-99;1;2;1;1;2;1;2;7;1;7;7;7;7;5;7;7;5;3;3;7;7;7;;;;;;;;;;;;;;;;;;
1;26;1;2;1;-99;1;1;-99;1;2;1;5;4;1;1;3;1;4;7;5;7;6;4;4;5;5;5;7;7;7;;;;;;;;;;;;;;;;;;
3;33;1;3;1;-99;1;1;-99;1;3;7;3;2;1;5;5;1;5;6;7;7;5;5;5;6;7;6;5;7;6;;;;;;;;;;;;;;;;;;
1;48;1;7;1;-99;1;1;-99;1;1;1;1;1;1;3;4;1;4;5;7;7;4;4;4;4;4;4;7;7;7;;;;;;;;;;;;;;;;;;
2;6767;1;2;1;-99;1;1;-99;1;6;1;1;7;1;6;1;1;6;6;6;7;1;1;2;5;2;1;7;7;7;;;;;;;;;;;;;;;;;;
3;58;1;2;1;-99;1;1;-99;3;6;6;5;2;2;1;1;1;1;6;7;6;2;2;3;2;7;3;1;1;1;;;;;;;;;;;;;;;;;;
3;27;1;5;1;-99;2;-77;-66;1;3;1;1;7;1;3;4;1;1;4;7;7;1;3;2;1;7;3;1;1;1;;;;;;;;;;;;;;;;;;
2;25;1;6;2;-99;1;4;Österreichisches Rotes Kreuz;1;3;1;1;3;3;7;5;1;6;5;6;7;6;4;5;7;5;3;7;7;7;;;;;;;;;;;;;;;;;;
1;28;1;7;1;-99;1;1;-99;3;6;2;1;5;5;3;2;1;6;7;7;7;5;6;6;7;4;4;7;7;7;;;;;;;;;;;;;;;;;;
2;44;1;3;1;-99;1;1;-99;2;3;1;6;6;1;2;3;1;5;7;7;7;5;6;6;3;5;1;7;7;7;;;;;;;;;;;;;;;;;;
1;59;1;2;1;-99;1;1;-99;1;1;1;2;2;2;7;6;1;6;7;7;7;7;7;6;7;7;7;4;7;4;;;;;;;;;;;;;;;;;;
3;78;1;1;1;-99;1;4;Bundeswehr ;1;7;7;1;1;1;7;7;1;7;7;7;7;7;1;7;7;7;1;1;1;1;;;;;;;;;;;;;;;;;;
3;35;1;5;1;-99;1;1;-99;1;5;1;1;1;1;1;1;1;4;7;7;7;6;2;4;1;1;1;4;4;4;;;;;;;;;;;;;;;;;;
2;38;2;2;1;-99;1;1;-99;1;1;1;1;1;1;6;7;1;6;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;55;2;5;1;-99;1;1;-99;1;4;7;1;1;1;1;1;1;1;1;7;7;1;1;4;4;1;1;7;7;7;;;;;;;;;;;;;;;;;;
1;27;2;1;1;-99;1;1;-99;1;3;1;1;1;1;4;2;1;5;7;7;7;7;4;7;7;6;4;7;7;7;;;;;;;;;;;;;;;;;;
3;29;1;2;1;-99;1;1;-99;1;1;7;1;1;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;39;1;4;1;-99;1;1;-99;1;4;1;2;6;4;7;6;1;3;7;7;7;4;6;6;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;54;1;2;1;-99;1;1;-99;1;1;1;5;5;1;6;6;1;6;6;7;7;6;6;6;6;6;6;7;7;7;;;;;;;;;;;;;;;;;;
3;44;1;2;1;-99;1;1;-99;1;1;1;1;1;1;1;5;1;4;7;7;7;7;7;7;7;6;5;7;7;7;;;;;;;;;;;;;;;;;;
2;27;1;5;1;-99;1;1;-99;1;3;2;1;4;4;7;7;1;7;7;7;7;5;5;7;6;7;6;7;7;7;;;;;;;;;;;;;;;;;;
2;44;1;4;1;-99;1;1;-99;1;4;1;1;3;1;1;1;1;4;4;7;6;6;6;5;7;7;5;6;6;6;;;;;;;;;;;;;;;;;;
1;48;1;2;1;-99;1;1;-99;1;2;7;1;1;4;6;7;1;7;7;7;7;7;7;7;7;6;6;7;7;7;;;;;;;;;;;;;;;;;;
3;21;2;4;1;-99;1;4;Haema;2;6;5;5;1;1;5;4;1;3;6;6;7;6;6;5;6;6;1;3;4;3;;;;;;;;;;;;;;;;;;
2;29;2;4;1;-99;2;-77;-66;7;7;1;1;1;1;1;1;1;1;1;7;7;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;
3;29;2;4;1;-99;1;4;HEMA;1;6;3;1;1;2;2;3;1;2;4;5;6;1;4;2;3;2;2;2;2;2;;;;;;;;;;;;;;;;;;
1;41;1;7;1;-99;1;1;-99;1;3;7;1;2;1;3;6;1;6;6;7;7;5;6;5;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;49;1;6;1;-99;1;1;-99;1;4;7;1;1;1;6;5;1;7;7;7;7;6;7;6;6;6;5;7;7;7;;;;;;;;;;;;;;;;;;
2;25;2;4;1;-99;1;3;-99;3;5;7;2;1;4;4;5;1;3;4;7;7;3;2;4;2;3;1;3;5;4;;;;;;;;;;;;;;;;;;
1;56;1;3;1;-99;1;1;-99;1;7;1;1;1;1;2;4;1;7;6;7;7;7;7;6;7;7;7;1;1;1;;;;;;;;;;;;;;;;;;
3;29;1;5;1;-99;1;1;-99;1;3;3;4;4;6;4;2;1;4;5;5;5;5;4;4;4;4;3;6;6;6;;;;;;;;;;;;;;;;;;
2;38;1;2;1;-99;1;1;-99;1;4;1;1;1;1;4;4;1;4;7;7;6;7;4;4;7;4;4;7;7;7;;;;;;;;;;;;;;;;;;
1;42;2;2;1;-99;1;1;-99;1;1;1;1;7;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;46;2;2;1;-99;1;1;-99;1;2;7;1;1;1;4;5;1;4;6;7;7;5;6;6;5;5;5;7;7;7;;;;;;;;;;;;;;;;;;
2;49;2;3;1;-99;1;1;-99;1;2;1;1;2;2;3;6;1;7;7;7;7;4;6;7;7;6;6;7;7;7;;;;;;;;;;;;;;;;;;
3;49;1;4;1;-99;1;1;-99;1;1;1;1;1;1;4;4;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;36;1;6;1;-99;1;3;-99;1;1;7;1;1;1;7;7;1;7;7;7;7;4;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;54;2;2;1;-99;1;1;-99;1;1;1;1;7;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;39;1;2;1;-99;1;1;-99;1;3;4;4;1;3;2;2;1;6;5;5;5;5;6;5;5;4;5;7;7;7;;;;;;;;;;;;;;;;;;
3;51;1;2;1;-99;1;1;-99;1;2;1;1;5;5;4;5;1;6;7;7;7;6;6;6;6;6;5;7;7;7;;;;;;;;;;;;;;;;;;
1;54;1;4;1;-99;1;1;-99;1;2;1;1;1;1;2;2;1;2;7;7;7;6;6;6;7;7;5;7;7;7;;;;;;;;;;;;;;;;;;
2;44;1;1;1;-99;1;1;-99;4;4;3;2;5;6;2;4;1;4;3;7;7;4;2;4;2;5;2;2;2;2;;;;;;;;;;;;;;;;;;
1;49;1;4;1;-99;1;1;-99;1;6;1;1;1;1;4;4;1;4;6;5;6;6;6;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;
3;57;1;2;1;-99;1;1;-99;1;1;1;1;1;1;4;7;1;7;7;7;7;7;7;7;7;7;5;7;7;7;;;;;;;;;;;;;;;;;;
2;58;1;2;1;-99;1;1;-99;1;4;1;1;1;1;1;4;1;4;5;7;7;5;4;5;7;4;5;1;1;1;;;;;;;;;;;;;;;;;;
2;33;1;3;1;-99;1;1;-99;1;1;1;1;2;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;54;1;3;1;-99;1;1;-99;3;4;2;4;4;1;1;3;1;3;5;6;6;6;3;5;4;5;5;5;5;5;;;;;;;;;;;;;;;;;;
3;45;2;2;1;-99;1;1;-99;1;5;1;1;1;1;4;6;1;7;5;7;7;5;2;3;6;2;6;7;7;7;;;;;;;;;;;;;;;;;;
2;47;1;6;1;-99;1;1;-99;1;3;1;2;3;1;5;5;1;7;7;7;7;7;7;7;4;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;43;1;5;1;-99;1;1;-99;1;1;1;1;7;1;4;5;1;6;7;7;7;7;7;7;7;5;6;7;7;2;;;;;;;;;;;;;;;;;;
3;55;2;6;1;-99;1;1;-99;3;1;1;1;4;1;3;2;1;2;5;7;6;4;6;5;2;4;3;7;7;7;;;;;;;;;;;;;;;;;;
1;39;1;2;1;-99;1;1;-99;1;1;5;1;1;1;1;1;1;4;7;7;7;5;7;5;7;7;3;7;7;7;;;;;;;;;;;;;;;;;;
2;45;2;4;1;-99;1;1;-99;1;4;1;4;1;1;2;5;1;5;4;7;7;3;5;5;7;4;4;7;7;7;;;;;;;;;;;;;;;;;;
3;55;2;2;1;-99;1;1;-99;4;2;1;1;4;4;1;1;1;2;6;6;7;7;4;6;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;40;2;3;1;-99;1;1;-99;1;1;1;2;1;1;7;5;1;7;7;7;7;7;6;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;51;2;1;1;-99;1;1;-99;1;2;4;1;1;1;4;7;1;4;7;7;7;5;4;7;7;1;1;7;7;7;;;;;;;;;;;;;;;;;;
1;33;2;4;1;-99;1;1;-99;2;4;7;4;4;5;6;6;7;7;7;7;7;6;6;7;6;6;6;7;7;7;;;;;;;;;;;;;;;;;;
2;39;1;5;1;-99;1;1;-99;2;2;1;1;1;1;1;4;1;1;3;6;5;4;6;2;2;4;1;4;4;2;;;;;;;;;;;;;;;;;;
1;49;2;7;1;-99;1;1;-99;1;1;1;1;1;1;1;7;1;1;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;54;1;2;1;-99;1;1;-99;1;1;6;1;1;1;4;3;1;6;6;6;7;6;5;7;6;6;6;7;7;7;;;;;;;;;;;;;;;;;;
2;37;1;6;1;-99;1;1;-99;1;1;1;2;1;1;1;4;1;6;7;7;7;6;5;6;7;7;5;7;7;7;;;;;;;;;;;;;;;;;;
1;37;1;2;1;-99;1;1;-99;4;5;2;1;1;1;1;4;1;5;6;6;7;6;3;5;6;6;4;6;6;6;;;;;;;;;;;;;;;;;;
3;34;1;4;1;-99;1;1;-99;1;3;1;1;1;1;4;5;1;7;7;7;7;7;5;5;7;7;2;7;7;7;;;;;;;;;;;;;;;;;;
2;32;1;5;1;-99;1;1;-99;1;3;7;3;5;4;3;5;1;4;5;7;7;6;6;6;6;7;6;5;5;6;;;;;;;;;;;;;;;;;;
2;30;1;6;1;-99;1;1;-99;1;1;1;1;1;2;3;5;1;3;7;7;7;6;7;7;2;6;4;7;7;7;;;;;;;;;;;;;;;;;;
1;38;1;2;1;-99;1;1;-99;2;1;1;2;6;6;7;4;1;6;7;7;7;3;6;7;6;7;6;7;7;6;;;;;;;;;;;;;;;;;;
3;40;1;7;1;-99;1;1;-99;1;2;1;1;1;1;1;4;1;5;5;7;7;5;4;5;5;7;2;7;7;7;;;;;;;;;;;;;;;;;;
1;48;2;2;1;-99;1;1;-99;1;1;1;7;7;2;4;4;1;6;6;7;7;7;7;7;7;5;6;7;7;7;;;;;;;;;;;;;;;;;;
2;47;1;4;1;-99;1;1;-99;1;1;1;1;1;1;1;1;1;6;7;7;7;5;5;6;7;5;4;7;7;7;;;;;;;;;;;;;;;;;;
3;33;2;2;1;-99;1;1;-99;1;3;1;1;5;4;1;5;1;6;7;7;7;7;7;7;7;4;4;7;7;7;;;;;;;;;;;;;;;;;;
3;44;2;2;1;-99;1;1;-99;2;2;6;1;2;2;1;1;1;4;4;5;4;4;4;4;5;4;5;6;6;6;;;;;;;;;;;;;;;;;;
1;28;1;5;1;-99;1;1;-99;1;2;3;4;5;5;2;2;1;2;4;5;7;3;2;3;4;3;2;1;1;1;;;;;;;;;;;;;;;;;;
2;60;2;2;1;-99;1;1;-99;1;3;1;1;1;1;5;6;6;5;6;6;6;5;7;5;6;6;5;7;7;7;;;;;;;;;;;;;;;;;;
1;59;1;2;1;-99;1;1;-99;1;3;1;1;5;1;5;5;7;5;6;6;7;6;5;6;6;6;5;7;7;7;;;;;;;;;;;;;;;;;;
2;37;1;4;1;-99;1;1;-99;1;2;1;1;4;4;5;4;1;3;6;7;7;6;7;5;5;6;4;7;7;7;;;;;;;;;;;;;;;;;;
3;54;1;2;1;-99;1;1;-99;1;1;1;1;2;2;7;6;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;55;1;4;1;-99;1;1;-99;1;1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;7;1;7;7;7;7;;;;;;;;;;;;;;;;;;
2;40;1;2;1;-99;1;1;-99;1;4;1;1;1;1;2;2;1;3;5;7;7;5;5;5;6;4;5;7;7;7;;;;;;;;;;;;;;;;;;
1;43;1;7;1;-99;1;1;-99;1;4;5;3;1;2;1;4;1;4;6;5;6;6;5;5;6;6;5;6;6;6;;;;;;;;;;;;;;;;;;
1;26;1;2;1;-99;1;1;-99;1;2;2;3;3;5;2;4;1;3;5;6;6;5;6;6;5;3;3;7;7;7;;;;;;;;;;;;;;;;;;
3;44;1;4;1;-99;1;1;-99;1;4;1;1;3;7;4;4;1;4;7;7;7;4;7;7;7;7;7;1;1;1;;;;;;;;;;;;;;;;;;
2;37;1;4;1;-99;1;1;-99;1;5;2;1;1;1;4;4;1;4;6;7;6;4;5;5;5;6;2;1;1;1;;;;;;;;;;;;;;;;;;
